User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,MoR Fused Score,Cross Encoder Score,Final MoR Score,Contributing Retrievers,Sentence Similarity,Ultimate Score,Rank,Retriever Contributions
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Composition (as per December 31, 2024) BOARD CHAIR: J. Reinhardt VICE-CHAIR: S. Moroney LEAD INDEPENDENT DIRECTOR: P. Bula N. Andrews T. Buechner E. Doherty B. Heller D. Hochstrasser F. van Houten A. de Pro Gonzalo C. Sawyers W. Winters J. Young AUDIT AND COMPLIANCE COMMITTEE COMPENSATION COMMITTEE E. Doherty (Chair) T. Buechner B. Heller D. Hochstrasser F. van Houten A. de Pro Gonzalo S. Moroney (Chair) P. Bula B. Heller W. Winters P. Bula (Chair) B. Heller D. Hochstrasser C. Sawyers W. Winters T. Buechner (Chair) N. Andrews E. Doherty A. de Pro Gonzalo J. Young J. Young (Chair) N. Andrews F. van Houten S. Moroney C. Sawyers GOVERNANCE, SUSTAINABILITY AND NOMINATION COMMITTEE RISK COMMITTEE SCIENCE & TECHNOLOGY COMMITTEE Item 6. Directors, Senior Management and Employees ﻿ 104 Board of Directors Election and term of office Board members (including the Board Chair) and Com- pensation Committee members are elected individually by shareholders at the General Meeting for a one-year term o",108,,page108_chunk000,0.1778,-11.2245,-7.8038,1,0.0,-7.8038,101,mpnet:0.621
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Item 6.  Directors, Senior Management and Employees
﻿
117
Compensation Committee
Primary responsibilities
•	 Designs, reviews and recommends compensation policies and programs to the Board (FBA)***
•	 Advises the Board on the compensation of Board members and the CEO (A/P)*
•	 Decides on the compensation of Executive Committee members (FD)* *
•	 Prepares the Compensation Report and the Say-on-Pay brochure, and submits them to the Board for approval (FBA)* ** Key activities in 2024 • Made decisions relating to Executive Committee and wider employee compensation during the year • Determined the critical performance measures (including financial, strategic, operational, innovation and ESG) to be considered in Executive incentive plan targets • Assessed the achievement of incentive plan targets for Executive Committee members • Reviewed shareholder and proxy advisor feedback related to Novartis compensation practices and disclosures, in addition to those of peer companies • Reviewed disclo",121,,page121_chunk000,0.022,-11.1849,-7.8228,1,0.0,-7.8228,103,minilm:0.076
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Financial assets
Financial assets are valued at acquisition cost less 
adjustments for foreign currency losses and any other 
impairment of value. Investments
Investments are initially recognized at cost. Investments 
in Novartis AG direct and indirect subsidiaries are 
assessed annually and, in case of an impairment, adjusted 
to their recoverable amount within their category. Goodwill
Goodwill is capitalized and amortized over a period of 
20 years. Goodwill is reviewed for impairment on an 
annual basis. If necessary, an impairment loss is recog-
nized. Bonds
Bonds are valued at nominal value. Any bond premium 
is accrued over the duration of the bond so that at matu-
rity, the balance sheet amount will equal the amount that 
is due to be paid. Provisions
Provisions are made to cover general business risks of 
Novartis AG and its direct and indirect subsidiaries.",253,,page253_chunk002,0.0,-11.1756,-7.8229,1,0.0,-7.8229,104,tfidf:0.006
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Environment performance indicators	
2024	 	
2023	 	
2022	
Water usage (million m3) 1	
	 	
	 	
	
Total water withdrawals 2	
33.3	 	
31.3	 	
32.9	
Total water discharges	
32.5	 	
30.4	 	
31.2	
Total water consumption 3	
0.8	 	
0.9	 	
1.7	
Operational waste (1 000 t) Total waste generated	
31.1	 	
35.5	 	
44.0	
Total waste recycled	
15.6	 	
16.9	 	
24.0	
Total waste not recycled	
15.5	 	
18.6	 	
20.0	
1	 2023 and 2022 water usage performance indicators have been updated from the prior year published performance indicators to 
include the Novartis entity Abadia Retuerta and a revised estimate from the Sandoz/ Novartis split for manufacturing operations in 
Austria after segregated meter reading data was available. This reduced the previously reported performance indicators of total 
water withdrawals by 5% in 2023 and by 8% in 2022, total water discharges by 5% in 2023 and 8% in 2022, and total water 
consumption increased by 3% in 2023 and 0% in 2022. Additionally, the definition for wate",33,,page33_chunk001,0.01,-11.1877,-7.8284,1,0.0,-7.8284,106,mpnet:0.035
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"The vast majority of our outstanding financial debts 
are straight bonds with fixed interest rates and are there-
fore not affected by movements in interest rates. Equity price sensitivity
Fund investments and equity securities held by the 
Novartis Venture Fund are valued at fair value through 
profit and loss. Equity securities held as strategic invest-
ments, typically held outside the Novartis Venture Fund, 
are generally designated at date of acquisition as finan-
cial assets valued at fair value through other compre-
hensive income with no subsequent recycling through 
profit and loss. The fair value of these fund investments and equity 
securities was USD 1.1 billion as at December 31, 2024 
(December 31, 2023: USD 1.8 billion). The fair values of 
these investments are impacted by the volatility of the 
stock market, valuation parameters applied (for non-
listed equities classified in Level 3 of the fair value hier-
archy) and changes in general economic factors. This 
analysis",241,,page241_chunk002,0.0023,-11.2097,-7.8461,1,0.0,-7.8461,110,tfidf:0.281
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"To determine the appropriateness of 2024 CEO and executive compensation payouts under the Annual Incen-
tive and LTPP, the Board of Directors and the Compensation Committee reviewed management’s performance 
against targets set at the beginning of the cycles as described in “—2024 CEO Annual Incentive balanced score-
card” and “—2022-2024 LTPP cycle performance outcomes.” The incentive performance outcomes, combined with base salary and other benefits, pension, keep-whole awards 
(awards granted in connection with the Sandoz spin-off) and dividend equivalents, resulted in 2024 total realized 
compensation for the CEO of CHF 19 165 899, an increase of 18% compared with 2023 (CHF 16 248 178). This 
increase was largely driven by the higher performance payout of the 2022-2024 LTPP cycle (158% compared with 
122% payout for the 2021-2023 LTPP cycle). Realized compensation for the CEO and Executive Committee (2024 compared with 2023) (audited) 2024 2023 In CHF (gross) 1 CEO Other ECN 2 Tota",79,,page79_chunk001,0.0055,-11.2155,-7.8492,1,0.0,-7.8492,111,dpr:0.146
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"The CEO’s employer pension contributions represent 9.2% of the base sal-
ary. 2024 CEO Annual Incentive balanced scorecard         
This section presents the balanced scorecard for the CEO. Financial performance is measured in constant curren-
cies (cc) to reflect operational performance that can be influenced. Performance outcomes for compensation pur-
poses may differ from reported numbers in accordance with our compensation adjustments policy. As communicated in the 2023 Compensation Report, in 2024, core operating income replaced operating income 
in the ECN financial measures. The Board reviewed the core adjustments made on operating income (as indicated 
in Item 5. Operating and Financial Review and Prospects − 5.A Operating results − Non-IFRS measures as defined 
by Novartis − Reconciliation from IFRS Accounting Standards results to non-IFRS measure core result) to arrive 
at the performance outcomes in the table above and decided not to make any discretionary adjustments to the",75,,page75_chunk001,0.0757,-11.2555,-7.8561,2,0.0,-7.8561,113,mpnet:0.250; minilm:0.015
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Notes to the Novartis consolidated financial statements
﻿
F-12
Share-based compensation
Vested Novartis shares and American Depositary 
Receipts (ADRs) that are granted as compensation are 
valued at their market value on the grant date and are 
immediately expensed in the consolidated income state-
ment. The fair values of unvested restricted shares (RSs), 
restricted share units (RSUs) and performance share 
units (PSUs) in Novartis shares and ADRs granted to 
employees as compensation are recognized as an 
expense over the related vesting period. The expense 
recorded in the consolidated income statement is 
included in the personnel expenses of the various func-
tions in which the employees are employed. Unvested restricted shares, restricted ADRs and 
RSUs are only conditional on the provision of services 
by the plan participant during the vesting period. They 
are valued at fair value on the grant date. As RSUs do 
not entitle the holder to dividends, the fair value is based 
on",183,,page183_chunk000,0.0013,-11.2315,-7.8616,1,0.0,-7.8616,116,tfidf:0.161
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Notes to the Novartis consolidated financial statements
﻿
F-63
	
2023
(USD millions) EUR	 	
USD	 	
Other	 	
Total	
Forward foreign exchange rate contracts	
1 629	 	
8 980	 	
1 335	 	
11 944	
Commodity purchase contracts	
61	 	
15	 	
	 	
76	
Total derivative financial instruments	
1 690	 	
8 995	 	
1 335	 	
12 020	
Derivative financial instruments effective for hedge 
accounting purposes
At the end of 2024 and 2023, there were no open hedg-
ing instruments for anticipated transactions. Fair value by hierarchy
As required by the IFRS Accounting Standards, financial 
assets and liabilities recorded at fair value in the consol-
idated financial statements are categorized based upon 
the level of judgment associated with the inputs used to 
measure their fair value. There are three hierarchical lev-
els, based on increasing ­subjectivity associated with the 
inputs to derive fair valuation for these assets and liabil-
ities, which are as follows:
The assets carried at Level 1 fair value are",234,,page234_chunk000,0.0018,-11.2316,-7.8616,1,0.0,-7.8616,117,tfidf:0.211
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Notes to the Novartis consolidated financial statements
﻿
F-11
agreements. In cases where historical experience and 
clinical data are not sufficient for a reliable estimation 
of the outcome, revenue recognition is deferred until 
the uncertainty is resolved, until such history is avail-
able or the period when the refund right has expired. The provisions for revenue deductions under innovative 
pay-for-performance agreements are adjusted period-
ically based on established processes and actual expe-
rience, including the products actual outcomes 
achieved compared with the anticipated predefined 
targets. •	 Cash discounts are offered to customers to encourage 
prompt payment and are provisioned and recorded as 
revenue deductions at the time the related sales are 
recorded. •	 Sales returns provisions are recognized and recorded 
as revenue deductions when there is historical expe-
rience of Novartis agreeing to customer returns and 
Novartis can reasonably estimate expected future ",182,,page182_chunk000,0.0012,-11.2525,-7.8764,2,0.0,-7.8764,119,bm25:0.049; tfidf:0.058
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Item 6.  Directors, Senior Management and Employees
﻿
133
6.D Employees
The table below sets forth the breakdown of the total year-end number of our full-time equivalent employees by 
main category of activity and geographic area for the past three years. For the year ended December 31, 2024 Marketing and Research and Production and General and (full-time equivalents) sales development supply Operations 1 administration Total USA 5 179 5 083 1 323 591 427 12 603 Canada and Latin America 1 707 413 336 1 062 173 3 691 Europe 7 908 8 923 11 823 3 993 1 505 34 152 Asia/Africa/Australasia 12 327 4 204 2 717 5 514 675 25 437 Total 27 121 18 623 16 199 11 160 2 780 75 883 For the year ended December 31, 2023 Marketing and Research and Production and General and (full-time equivalents) sales development supply Operations 1 administration Total USA 5 219 5 194 1 310 659 464 12 846 Canada and Latin America 1 732 461 327 1 019 182 3 721 Europe 8 426 8 519 11 811 4 035 1 668 34 459 Asia/Africa/Aus",137,,page137_chunk000,0.0866,-11.2973,-7.8821,1,0.0,-7.8821,120,mpnet:0.303
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Item 6. Directors, Senior Management and Employees ﻿ 114 Attendance at Board and Board Committee Meetings in 2024 Governance, Audit and Sustainability Science & Compliance Compensation and Nomination Risk Technology Name Position Board Committee Committee Committee Committee Committee J. Reinhardt Board Chair 11/11 S. Moroney Vice-Chair 10/11 6/6 6/6 P. Bula Lead Independent Director 11/11 6/6 4/4 N. Andrews Member 9/11 2/4 4/6 T. Buechner Member 10/11 7/7 4/4 E. Doherty Member 11/11 7/7 4/4 B. Heller Member 10/11 7/7 6/6 4/4 D. Hochstrasser Member 11/11 7/7 4/4 F. van Houten Member 10/11 7/7 6/6 A. de Pro Gonzalo Member 10/11 7/7 4/4 C. Sawyers Member 10/11 4/4 5/6 W. Winters Member 11/11 6/6 4/4 J. Young Member 11/11 4/4 6/6 Further details can be found on pages 115 – 120.",118,,page118_chunk000,0.081,-11.2994,-7.8853,1,0.0,-7.8853,121,mpnet:0.283
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Notes to the Novartis consolidated financial statements ﻿ F-27 Total value Fair value Actuarial Cumulative adjustments adjustments gains/(losses) currency attributable to Non- on financial from defined Hedging translation Novartis AG controlling Total value (USD millions) Note instruments benefit plans reserves effects shareholders interest adjustments Value adjustments at December 31, 2021 188 – 3 968 – 407 – 4 187 – 33 – 4 220 Fair value adjustments on equity securities, net of taxes of USD 81 million 1 – 382 – 382 – 382 Net investment hedge, net of taxes of USD -30 million 91 91 91 Defined benefit plans, net of taxes of USD -104 million – 104 – 104 1 – 103 Currency translation effects, net of taxes of USD 18 million 8.1 – 444 – 444 – 6 – 450 Value adjustments recognized through other comprehensive income in 2022 – 382 – 104 – 353 – 839 – 5 – 844 Fair value adjustments on equity securities sold, reclassified to retained earnings net of taxes of nil – 4 – 4 – 4 Value adjustments relat",198,,page198_chunk000,0.001,-11.2684,-7.8876,1,0.0,-7.8876,122,tfidf:0.115
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Item 6.  Directors, Senior Management and Employees
﻿
88
Board compensation
Board member total compensation earned for the financial year 2024 (compared with 2023) (audited)
	
Positions as per 
	
	
	
Share-based
	
	
	
	
	
	
	
December 31
	
	
	
compensation
	
	
	
	
	
		
	
	
	
Governance,	
	
	
	 	
	 	
	 	
	 	
	 	
	
	
	
	
	
Sustainability	
	
	
	 	
	 	
	 	
Social	 	
	 	
	
	
	
Audit and	
	
and	
Science & 	
	
Cash 	 	
Shares 	 	
	 	
security	 	
Total 2024	 	
	
	
Board 	
Compliance	 Compensation 	 Nomination	
Technology	
Risk	
(CHF)	 	
(CHF)	 	
Shares 	 	
(CHF)	 	
(CHF) Total 2023	
	
membership	
Committee	
Committee	
Committee	
Committee	
Committee	
(A)	 	
(B)	 	
(number)	  
1	
(C) 2 (A)+(B)+(C) 3 (CHF) Joerg Reinhardt Board Chair 1 900 000 1 900 000 20 078 3 784 3 803 784 3 803 784 Simon Moroney Vice-Chair Chair • 230 000 230 000 2 430 – 460 000 460 000 Lead Independent Patrice Bula Director • Chair 205 000 205 000 2 166 3 784 413 784 413 784 Nancy C. Andrews • • • 180 000 180 000 1 902 – 36",92,,page92_chunk000,0.0194,-11.2781,-7.8889,1,0.0,-7.8889,123,mpnet:0.068
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"74
Novartis in Society  
Integrated Report 2024
About Novartis
Strategy and business model
Business review  
Appendix
Sustainability matters
Corporate governance, risk 
management and compensation
Abbreviations
Novartis reporting and transparency hub
www.novartis.com/reportinghub
Our annual reporting suite includes the Novartis in Society Integrated Report, 
Annual Report (filed with the SIX Swiss Exchange in Switzerland) and Form 20-F 
(filed with the Securities and Exchange Commission in the US). These and other 
documents are available on our online reporting and transparency hub.
ACC	
Audit and Compliance 
Committee 
AGM	
Annual General Meeting 
of shareholders
AI	
Artificial intelligence
AMR	
Antimicrobial resistance
API	
Active pharmaceutical 
ingredient
ASCVD	
Atherosclerotic 
cardiovascular disease
BCM	
Business continuity 
management
C3G	
C3 glomerulopathy
CAGR	
Compound annual growth 
rate
CAPAs	 Corrective and preventive 
actions 
CC	
Constant currencies
CEO	
Chief Executive",74,,page74_chunk000,0.0261,-11.2843,-7.8912,1,0.0,-7.8912,124,dpr:0.689
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"Notes to the Novartis consolidated financial statements ﻿ F-62 2023 Financial Financial instruments at instruments at fair value Other Financial fair value through the financial instruments at through other consolidated liabilities at amortized comprehensive income amortized (USD millions) Note costs income statement costs Cash and cash equivalents 16 13 343 50 Time deposits and short-term investments with original maturity more than 90 days 16 569 Trade receivables 15 7 107 Other receivables and current assets 17 1 127 124 1 Long-term financial investments – equity securities 13 1 086 317 Long-term financial investments – debt securities 13 29 Long-term financial investments – fund investments 13 190 Long-term loans, advances, security deposits and other long-term receivables 13 432 Associated companies at fair value through profit and loss 101 Derivative financial instruments 16 355 Contingent consideration receivables 13/17 618 Total financial assets 22 578 1 289 1 582 Bank and othe",233,,page233_chunk000,0.0032,-11.2763,-7.8925,1,0.0,-7.8925,125,tfidf:0.380
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"•	 Obtain sufficient appropriate audit evidence regarding the  
financial information of the entities or business units within  
the Company as a basis for forming an opinion on the con-  
solidated financial statements.  

We are responsible for the  
direction, supervision and review of the audit work per-  
formed for purposes of the group audit. We remain solely  
responsible for our audit opinion.  

We communicate with the Board of Directors, primarily  
through the Audit and Compliance Committee regarding,  
among other matters, the planned scope and timing of the  
audit and significant audit findings, including any significant  
deficiencies in internal control that we identify during our  
audit.  

We also provide the Board of Directors with a statement  
that we have complied with relevant ethical requirements  
regarding independence, and communicate with them all  
relationships and other matters that may reasonably be  
thought to bear on our independence, and where applica-  
ble, actions taken to","•	 Obtain sufficient appropriate audit evidence regarding the 
financial information of the entities or business units within 
the Company as a basis for forming an opinion on the con-
solidated financial statements. We are responsible for the 
direction, supervision and review of the audit work per-
formed for purposes of the group audit. We remain solely 
responsible for our audit opinion. We communicate with the Board of Directors, primarily 
through the Audit and Compliance Committee regarding, 
among other matters, the planned scope and timing of the 
audit and significant audit findings, including any significant 
deficiencies in internal control that we identify during our 
audit. We also provide the Board of Directors with a statement 
that we have complied with relevant ethical requirements 
regarding independence, and communicate with them all 
relationships and other matters that may reasonably be 
thought to bear on our independence, and where applica-
ble, actions taken to",250,,page250_chunk002,0.1118,-9.7152,-6.7671,1,0.5591,-7.9021,20,mpnet:0.391
