User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,BM25 Score,TF-IDF Score,Combined Lexical Score,Semantic Score,Dense Score,LLM Score,Context Score,Final Enhanced Score,Sentence Similarity,Ultimate Score
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"We have experienced supply interruptions for our products in the past, and there can be no assurance that supply will not be interrupted again in the future.  

For more information on the risks related to the manufactur-ing of our products, see “Item 3. Key Information—Item 3.D Risk factors—Manufacturing and product quality—Inability to ensure proper controls in product develop-ment and product manufacturing, and failure to comply with applicable regulations and standards.”  

We have implemented a global manufacturing strategy to maxi-mize business continuity in case of such events.  

Although specific distribution patterns vary by country, Novartis generally sells its prescription drugs primarily to drug wholesalers, retailers, private health systems, government agencies, managed care providers, phar-macy benefit managers, and government-supported healthcare systems.  

We reach healthcare professionals and patients in many markets and across our core ther-apeutic areas.","We have experienced supply interruptions for 
our products in the past, and there can be no assurance 
that supply will not be interrupted again in the future. For 
more information on the risks related to the manufactur‑ 
ing of our products, see “Item 3. Key Information—Item 
3.D Risk factors—Manufacturing and product quality— 
Inability to ensure proper controls in product develop‑ 
ment and product manufacturing, and failure to comply 
with applicable regulations and standards.” We have 

implemented a global manufacturing strategy to maxi‑ 
mize business continuity in case of such events. Although specific distribution patterns vary by country, 
Novartis generally sells its prescription drugs primarily 
to drug wholesalers, retailers, private health systems, 
government agencies, managed care providers, phar‑ 
macy benefit managers, and government‑supported 
healthcare systems. We reach healthcare professionals 
and patients in many markets and across our core ther‑ 
apeutic areas",Unknown,,novartis-annual-report-2024_docx_block0_chunk072,0.5731,0.6115,0.5846,0.5284,0.5453,0.15,0.2,0.2541,0.5332,0.2811
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"Internal online tools, such as our Ethical 
Decision Explorer, have been designed to 
help employees navigate ethical dilemmas. 

In addition, we conduct a global Ethics 
Survey on a regular basis to measure our 
progress in embedding our Code across 
the organization and strengthening our 
ethical culture. 

We use insights it provides 
to drive conversations at global and local 
levels and take action where needed. 

To maximize the benefits of AI while 
minimizing the risks, we established an AI 
compliance governance structure 
together with diverse teams to assess and 
address the complexity arising out of such 

risks. 

This compliance governance 
structure helps us to mitigate risks within 
ethical guiding principles. 

We have an Ethical use of Data & 
Technology Policy that, together with the 
AI Risk & Compliance Management 
Framework, contributes to the responsible 
use of AI across Novartis.","Internal online tools, such as our Ethical 
Decision Explorer, have been designed to 
help employees navigate ethical dilemmas. In addition, we conduct a global Ethics 
Survey on a regular basis to measure our 
progress in embedding our Code across 
the organization and strengthening our 
ethical culture. We use insights it provides 
to drive conversations at global and local 
levels and take action where needed. To maximize the benefits of AI while 
minimizing the risks, we established an AI 
compliance governance structure 
together with diverse teams to assess and 
address the complexity arising out of such 

risks. This compliance governance 
structure helps us to mitigate risks within 
ethical guiding principles. We have an Ethical use of Data & 
Technology Policy that, together with the 
AI Risk & Compliance Management 
Framework, contributes to the responsible 
use of AI across Novartis. Anti-corruption and anti-bribery 
Novartis does not tolerate any form of 
bribery, undue inf",Unknown,,novartis-integrated-report-2024_docx_block0_chunk081,0.33,0.2159,0.2958,0.543,0.4688,0.18,0.1,0.2398,0.5465,0.266
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"To address cybersecurity threats and prevent IT system 
interruptions, the Information Security & Compliance 
(ISC) team, which is headed by our Chief Security Offi- 
cer, has implemented enterprise-wide policies, pro- 
cesses and practices. Our Chief Security Officer reports 
to our Chief Information Officer, and is a subject matter 
expert on information security, privacy, information tech- 
nology strategy and management with over 20 years 
relevant experience across a number of industries, 
including pharmaceuticals, consumer goods, financial 
services and consulting. Our Chief Information Officer 
has 25 years of experience as an IT professional, includ- 
ing 15 years with Novartis, and is responsible for our tech- 
nology strategy, delivery and operations globally. Our 
ISC team assesses our systems against our policies and 
processes, reviews gaps, and prioritizes remediation. Key performance indicators are reported to the Execu- 
tive Committee of Novartis. The Executive Commit","To address cybersecurity threats and prevent IT system 
interruptions, the Information Security & Compliance 
(ISC) team, which is headed by our Chief Security Offi- 
cer, has implemented enterprise-wide policies, pro- 
cesses and practices. Our Chief Security Officer reports 
to our Chief Information Officer, and is a subject matter 
expert on information security, privacy, information tech- 
nology strategy and management with over 20 years 
relevant experience across a number of industries, 
including pharmaceuticals, consumer goods, financial 
services and consulting. Our Chief Information Officer 
has 25 years of experience as an IT professional, includ- 
ing 15 years with Novartis, and is responsible for our tech- 
nology strategy, delivery and operations globally. Our 
ISC team assesses our systems against our policies and 
processes, reviews gaps, and prioritizes remediation. Key performance indicators are reported to the Execu- 
tive Committee of Novartis. The Executive Commit",Unknown,,novartis-annual-report-2024_docx_block0_chunk349,0.767,0.7794,0.7707,0.5683,0.629,0.1,0.2,0.2358,0.5683,0.2626
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"A failure to fully comply with regulatory 
requirements could also lead to a delay in the approval 
of new products, an inability to ship or import our prod- 
ucts, and significant penalties and reputational harm. In addition, the technically complex manufacturing 
processes required to manufacture many of our prod- 
ucts increase the risk of both production failures and 
product recalls, and can increase the cost of producing 
our goods. Some of our products require a supply 
highly specialized raw materials, such as cell lines, tis- 
sue samples, bacteria, viral strains and radioisotopes. addition, we manufacture and sell a number of sterile 
products, biologic products and products that involve 
advanced therapy platforms, such as gene and cell ther- 
apy, radioligand therapy, and xRNA, all of which are par- 
ticularly complex and involve highly specialized manu- 
facturing technologies. For more information, see “Item 
4. Information on the Company—Item 4.B. Business over- 
view—P","A failure to fully comply with regulatory 
requirements could also lead to a delay in the approval 
of new products, an inability to ship or import our prod‑ 

ucts, and significant penalties and reputational harm. In addition, the technically complex manufacturing 
processes required to manufacture many of our prod‑ 
ucts increase the risk of both production failures and 
product recalls, and can increase the cost of producing 
our goods. Some of our products require a supply 
highly specialized raw materials, such as cell lines, tis‑ 
sue samples, bacteria, viral strains and radioisotopes. addition, we manufacture and sell a number of sterile 
products, biologic products and products that involve 
advanced therapy platforms, such as gene and cell ther‑ 
apy, radioligand therapy, and xRNA, all of which are par‑ 
ticularly complex and involve highly specialized manu‑ 
facturing technologies. For more information, see “Item 
4. Information on the Company—Item 4.B. Business over‑ 
view—P",Unknown,,novartis-annual-report-2024_docx_block0_chunk034,0.6455,0.6567,0.6488,0.498,0.5432,0.12,0.2,0.2326,0.4993,0.2559
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"“Other reve- 
nue” also includes revenue from activities such as man- 
ufacturing or other services rendered, to the extent such 
revenue is not recorded under net sales, and is recog- 
nized when control transfers to the third party and our 
performance obligations are satisfied. Internal research and development (R&D) costs are fully 
charged to “Research and development” in the consol- 
idated income statement in the period in which they are 
incurred. The Company considers that regulatory and 
other uncertainties inherent in the development of new 
products preclude the capitalization of internal develop- 
ment expenses as an intangible asset until marketing 
approval from a regulatory authority is obtained in 
major market such as the United States, the European 
Union, Switzerland, China or Japan. Payments made to third parties such as contract 
research and development organizations in compensa- 
tion for subcontracted R&D, that are deemed not to 
transfer intellectual property","“Other reve- 
nue” also includes revenue from activities such as man- 
ufacturing or other services rendered, to the extent such 
revenue is not recorded under net sales, and is recog- 
nized when control transfers to the third party and our 
performance obligations are satisfied. Internal research and development (R&D) costs are fully 
charged to “Research and development” in the consol- 
idated income statement in the period in which they are 
incurred. The Company considers that regulatory and 
other uncertainties inherent in the development of new 
products preclude the capitalization of internal develop- 
ment expenses as an intangible asset until marketing 
approval from a regulatory authority is obtained in 
major market such as the United States, the European 
Union, Switzerland, China or Japan. Payments made to third parties such as contract 
research and development organizations in compensa- 
tion for subcontracted R&D, that are deemed not to 
transfer intellectual property ",Unknown,,novartis-annual-report-2024_docx_block0_chunk384,0.722,0.4311,0.6347,0.4906,0.5338,0.06,0.4,0.2288,0.4906,0.2512
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"These efforts aimed to 
strengthen supply chains, advocate for 
regulatory and intellectual property 
protections, enhance EU competitiveness, 
and support environmental goals. In the US, we engaged at both the federal 
and state levels to shape policies on drug 
pricing (e.g., the 340B program), the 
Inflation Reduction Act, and Pharmacy 
Benefit Managers reform. We emphasized 
engagement with policymakers, 
advancement of patient access, and 
efforts to uphold innovation and 
intellectual property protections. We rely on thousands of external partners 
for key business functions and services, 
which poses risks to Novartis, our 
stakeholders and the environment — for 
example when third parties fail to comply 
with our ethical and business standards or 
external regulations related to 
environmental sustainability, human rights 
and other matters. Our external partner risk management 
(EPRM) framework enables risk 
management in a single, mandatory 
process and system as part of our","These efforts aimed to 
strengthen supply chains, advocate for 
regulatory and intellectual property 
protections, enhance EU competitiveness, 
and support environmental goals. In the US, we engaged at both the federal 
and state levels to shape policies on drug 
pricing (e.g., the 340B program), the 
Inflation Reduction Act, and Pharmacy 
Benefit Managers reform. We emphasized 
engagement with policymakers, 
advancement of patient access, and 
efforts to uphold innovation and 
intellectual property protections. We rely on thousands of external partners 
for key business functions and services, 
which poses risks to Novartis, our 
stakeholders and the environment — for 
example when third parties fail to comply 
with our ethical and business standards or 
external regulations related to 
environmental sustainability, human rights 
and other matters. Our external partner risk management 
(EPRM) framework enables risk 
management in a single, mandatory 
process and system as part of our ",Unknown,,novartis-integrated-report-2024_docx_block0_chunk092,0.5335,0.3065,0.4654,0.5168,0.5014,0.12,0.2,0.2243,0.5168,0.2475
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"We have dedicated teams that actively seek to optimize 
patient access, including formulary positions, for our 
products. The trend toward consolidation among distributors 
and retailers of our products continues in the US and 
internationally, both within and across countries. This has 
increased our customers’ purchasing leverage and 
resulted in increased pricing pressure on our products. Moreover, we are exposed to increased concentration 
of credit risk as a result of the consolidation among our 
customers. Drug pricing is an increasingly prominent issue in 
many countries as healthcare spending continues to rise. This issue has received significant attention in the US, 
especially with the passage of the Inflation Reduction 
Act (see “—Price controls” for more information). At 
Novartis, we aim to enable patient access through 
innovative pricing and access initiatives in the US, Europe 
and other markets. These include contract structures 
such as pa","Information on the Company 

We have dedicated teams that actively seek to optimize 
patient access, including formulary positions, for our 
products. The trend toward consolidation among distributors 
and retailers of our products continues in the US and 
internationally, both within and across countries. This has 
increased our customers’ purchasing leverage and 
resulted in increased pricing pressure on our products. Moreover, we are exposed to increased concentration 
of credit risk as a result of the consolidation among our 
customers. Drug pricing is an increasingly prominent issue in 
many countries as healthcare spending continues to rise. This issue has received significant attention in the US, 
especially with the passage of the Inflation Reduction 
Act (see “—Price controls” for more information). At 
Novartis, we aim to enable patient access through 
innovative pricing and access initiatives in the US, Europe 
and other markets. These include contract structures 
such as pa",Unknown,,novartis-annual-report-2024_docx_block0_chunk074,1.0,0.7635,0.9291,0.5232,0.6449,0.05,0.3,0.224,0.4987,0.2463
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"Revenue on the sale of Novartis products and services, 
which is recorded as net sales to third parties in the line 
“Net sales from continuing operations” in the consoli- 
dated income statement, is recognized when a contrac- 
tual promise to a customer (performance obligation) has 
been fulfilled by transferring control over the promised 
goods and services to the customer, substantially all 
which is at the point in time of shipment to, or receipt 
the products by the customer or when the services are 
performed. If contracts contain customer acceptance 
provisions, revenue is recognized upon the satisfaction 
of the acceptance criteria. If a contract contains more 
than one performance obligation, the consideration 
allocated based on the standalone selling price of each 
performance obligation. The amount of revenue recog- 
nized is based on the consideration Novartis expects 
receive in exchange for its goods and services, when","Revenue on the sale of Novartis products and services, 
which is recorded as net sales to third parties in the line 
“Net sales from continuing operations” in the consoli- 
dated income statement, is recognized when a contrac- 
tual promise to a customer (performance obligation) has 
been fulfilled by transferring control over the promised 
goods and services to the customer, substantially all 
which is at the point in time of shipment to, or receipt 
the products by the customer or when the services are 
performed. If contracts contain customer acceptance 
provisions, revenue is recognized upon the satisfaction 
of the acceptance criteria. If a contract contains more 
than one performance obligation, the consideration 
allocated based on the standalone selling price of each 
performance obligation. The amount of revenue recog- 
nized is based on the consideration Novartis expects 
receive in exchange for its goods and services, when 

The consideration Novartis receives in exchange fo",Unknown,,novartis-annual-report-2024_docx_block0_chunk381,0.9084,1.0,0.9359,0.499,0.6301,0.05,0.3,0.221,0.5056,0.2434
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"""For example, during the term of these agreements, we will perform technical development services for Sandoz, which may involve certain proprietary know-how. While we intend to retain the personnel involved in our technical research and development and to protect our trade secrets, provision of such services might create the incremental potential for the disclosure or misuse of such proprietary know-how, particularly in connection with technology transfer at the end of such arrangements.""","For example, during the term of these agree‑ 
ments, we may have less flexibility to optimize our 

agreements, we will perform technical development ser‑ 
vices for Sandoz, which may involve certain proprietary 
know‑how. While we intend to retain the personnel 
involved in our technical research and development and 
to protect our trade secrets, provision of such services 
might create the incremental potential for the disclosure 
or misuse of such proprietary know‑how, particularly in 
connection with technology transfer at the end of such 
arrangements. 

arrangements. Further, if the spin‑off does not generally qualify 
a tax‑neutral transaction for Swiss and US federal 
income tax purposes, we, our shareholders, or both, 
could be subject to significant tax liabilities. The spin‑off 
is intended to qualify for tax‑neutral treatment for us and 
our shareholders for Swiss and US federal income tax 
purposes. If, however, the spin‑off fails to qualify 
tax‑neutral for Swiss and US f",Unknown,,novartis-annual-report-2024_docx_block0_chunk024,0.3731,0.1601,0.3092,0.5236,0.4593,0.15,0.1,0.2169,0.5697,0.2416
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"“The international pharmaceutical industry is highly reg- ulated. Regulatory authorities around the world admin- ister numerous laws and regulations regarding the test- ing, approval, manufacturing, importing, labeling and marketing of drugs, and review the safety and efficacy of pharmaceutical products. Extensive controls exist on the non-clinical and clinical development of pharmaceu- tical products. These regulatory requirements, and the implementation of them by local health authorities around the globe, are a major factor in determining whether substance can be developed into a marketable product, and the amount of time and expense associated with that development. Health authorities, including those in the US and the EU, have high standards of technical evaluation. The introduction of new pharmaceutical products generally entails a lengthy approval process.”","Financial Statements—Note 2. Significant 
acquisitions of businesses and spin‑off of Sandoz busi‑ 
ness.” The international pharmaceutical industry is highly reg‑ 
ulated. Regulatory authorities around the world admin‑ 
ister numerous laws and regulations regarding the test‑ 
ing, approval, manufacturing, importing, labeling and 
marketing of drugs, and review the safety and efficacy 
of pharmaceutical products. Extensive controls exist on 
the non‑clinical and clinical development of pharmaceu‑ 
tical products. These regulatory requirements, and the 
implementation of them by local health authorities around 
the globe, are a major factor in determining whether 
substance can be developed into a marketable product, 
and the amount of time and expense associated with 
that development. Health authorities, including those in the US and the 
EU, have high standards of technical evaluation. The 
introduction of new pharmaceutical products generally 
entails a lengthy approval process. Prod",Unknown,,novartis-annual-report-2024_docx_block0_chunk081,0.3227,0.2905,0.3131,0.5363,0.4693,0.15,0.1,0.2189,0.5133,0.2413
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"In addition, 
our revenue and margins could be significantly impacted 
by the timing and rate of commercial acceptance of new 

products. We operate in competitive and rapidly changing 
kets and could be adversely affected if we fail to 
pace with technological changes. Healthcare profes- 
sionals, patients and payers may choose competitor 
products instead of ours for various reasons, including 
if they perceive them to be better in terms of efficacy, 
safety, cost, convenience or other reasons. The 
mercial success of our key products and launches in 
face of increasing competition requires significant atten- 
tion, management focus and resource allocation. competition could significantly affect the revenue 
our products and our results of operations. This impact 
could also be compounded to the extent that such 
petition results in us making significant additional invest- 
ments in research and development, marketing or sales. The continual development and usage of advanced 
nologie","In addition, 
our revenue and margins could be significantly impacted 
by the timing and rate of commercial acceptance of new 

products. We operate in competitive and rapidly changing 
kets and could be adversely affected if we fail to 
pace with technological changes. Healthcare profes‑ 
sionals, patients and payers may choose competitor 
products instead of ours for various reasons, including 
if they perceive them to be better in terms of efficacy, 
safety, cost, convenience or other reasons. The 
mercial success of our key products and launches in 
face of increasing competition requires significant atten‑ 
tion, management focus and resource allocation. competition could significantly affect the revenue 
our products and our results of operations. This impact 
could also be compounded to the extent that such 
petition results in us making significant additional invest‑ 
ments in research and development, marketing or sales. The continual development and usage of advanced 
nologie",Unknown,,novartis-annual-report-2024_docx_block0_chunk014,0.5276,0.4333,0.4993,0.519,0.5131,0.1,0.2,0.2126,0.5163,0.2346
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"“Full-time equivalent positions” adjusts headcount 
employees employed for less than 100% 
3 Data includes Sandoz for the periods 2022 and January to September 2023 
4 Scope generally considers non-management employees only 
5 “Top management” refers to the senior managers, including the Executive Committee 
6 Data includes all work-related injuries and illnesses, whether leading to lost time or not 

In 2024, we ramped up the opportunities 
for our people to learn and apply new 
skills through our AI-enabled talent 
marketplace. We also undertook initiatives 
to strengthen our talent attraction, 
development and retention efforts. For example, we enhanced our Early 
Career program to identify, hire and 
develop early career talent linked to future 
skill gaps, so that the business has pools 

of early career talent with the right 
specialized knowledge, skills and 
experiences. Additionally, we launched AI 
upskilling efforts to equip our workforce 
with the skills to leverage AI tech","“Full-time equivalent positions” adjusts headcount 
employees employed for less than 100% 
3 Data includes Sandoz for the periods 2022 and January to September 2023 
4 Scope generally considers non-management employees only 
5 “Top management” refers to the senior managers, including the Executive Committee 
6 Data includes all work-related injuries and illnesses, whether leading to lost time or not 

In 2024, we ramped up the opportunities 
for our people to learn and apply new 
skills through our AI-enabled talent 
marketplace. We also undertook initiatives 
to strengthen our talent attraction, 
development and retention efforts. For example, we enhanced our Early 
Career program to identify, hire and 
develop early career talent linked to future 
skill gaps, so that the business has pools 

of early career talent with the right 
specialized knowledge, skills and 
experiences. Additionally, we launched AI 
upskilling efforts to equip our workforce 
with the skills to leverage AI tech",Unknown,,novartis-integrated-report-2024_docx_block0_chunk067,0.378,0.3229,0.3615,0.5168,0.4702,0.14,0.1,0.212,0.5168,0.2339
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"These rebates and discounts, applied 
using provision rates, are estimated based on the 
and conditions in the individual government agencies, 
states, plans and customer agreements (which may 
subject to challenge or change in interpretative 
ance by government authorities, payers and custom- 
ers), historical experience, product sales and growth 
rate, population growth, product pricing including 
tion impacts, the mix of contracts and products, 
level of inventory in the distribution channel, regula- 
tions, channels and payers, as appropriate to the 
vidual rebate and discount arrangements. These rebate 
provisions are adjusted based on established 
cesses and experiences, for example from filing 
with individual government agencies, states, and plans. There is often a time lag between the recording of 
enue deductions and the final accounting for them. • Refunds granted to healthcare providers under 
innovative pay-for-performance agreements (i.e. 
come based arrangements) are pro","These rebates and discounts, applied 
using provision rates, are estimated based on the 
and conditions in the individual government agencies, 
states, plans and customer agreements (which may 
subject to challenge or change in interpretative 
ance by government authorities, payers and custom- 
ers), historical experience, product sales and growth 
rate, population growth, product pricing including 
tion impacts, the mix of contracts and products, 
level of inventory in the distribution channel, regula- 
tions, channels and payers, as appropriate to the 
vidual rebate and discount arrangements. These rebate 
provisions are adjusted based on established 
cesses and experiences, for example from filing 
with individual government agencies, states, and plans. There is often a time lag between the recording of 
enue deductions and the final accounting for them. • Refunds granted to healthcare providers under 
innovative pay-for-performance agreements (i.e. 
come based arrangements) are pro",Unknown,,novartis-annual-report-2024_docx_block0_chunk382,0.5152,0.3697,0.4716,0.5162,0.5028,0.1,0.2,0.2106,0.5162,0.2323
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"They include services such as: limited assurance on selected sustainability information in the Novartis in Society Integrated Report, audits of pension and other employee benefit plans; audit services in con- nection with non-recurring transactions; assurance of the Compensation Report of Novartis; and other audit-re- lated services. 

Tax services include tax compliance and assistance with historical tax matters. 

Other services include license fees for use of account- ing and other reporting guidance databases and, in 2024, additionally procedures related to training on emerging topics and benchmarking studies.","They include services such as: limited 
assurance on selected sustainability information in the 
Novartis in Society Integrated Report, audits of pension 
and other employee benefit plans; audit services in con- 
nection with non-recurring transactions; assurance of 
the Compensation Report of Novartis; and other audit-re- 
lated services. Tax services include tax compliance and assistance 
with historical tax matters. Other services include license fees for use of account- 
ing and other reporting guidance databases and, in 2024, 
additionally procedures related to training on emerging 
topics and benchmarking studies. The ACC, acting on behalf of the Board, is responsible for 
overseeing the activities of the external auditor. In 2024, 
this committee held seven meetings. KPMG was invited to 
all of these meetings to attend the discussions on audit- 
ing matters and any other matters relevant to its audit. The ACC recommended to the Board to approve the 
audited consolidated financia",Unknown,,novartis-annual-report-2024_docx_block0_chunk303,0.6532,0.7094,0.6701,0.5126,0.5598,0.08,0.2,0.208,0.5447,0.2306
